all_gene2	five_prime_partners	num_five_prime_partners	three_prime_TCGA_Projects
AL160290.2	NF2:FAM175B	2	HNSC:LUAD
NKX1-2	PCNP	1	OV
LHPP	ZRANB1	1	STAD
FAM53B	TRIO	1	BRCA
AC068896.1	CPXM2:SORBS2:CHST15	3	KIRC:LIHC
FAM175B	AL731577.2	1	BRCA
ZRANB1	ATE1	1	BRCA
CTBP2	TACC2:ARAP3:PPP6R3:FAM53B	4	BRCA:UCEC:STAD:OV
TEX36	QPRT	1	BRCA
FANK1	LHPP	1	GBM
ADAM12	EIF4EBP1:SF3B3:CTBP2	3	BRCA:TGCT
C10orf90	SHTN1:FOCAD:VTI1A:SMAD2	4	LIHC:PRAD:LUAD
CAMK1D	PARD3:IDE:PHF21A	3	OV:PRAD:BRCA
DOCK1	NHLRC3:PTPRE:ERLIN1:MGMT:KCNMA1	5	STAD:DLBC:LIHC
AL359094.1	POLL	1	GBM
FOXI2	TNS3	1	BRCA
MGMT	ATP8B4:FRAS1:HMGXB4	3	BRCA:UCEC:SKCM
CCDC3	ZNF585A:AC012309.1:USP6NL	3	PRAD:BRCA
GLRX3	HECTD2	1	BRCA
TCERG1L	DDX58:ROR2:TACC2	3	LUAD:UCEC:STAD
OPTN	MCM10:DVL1	2	BRCA:UCS
PPP2R2D	INPP5A	1	BRCA
MCM10	ANKRD26	1	BLCA
DPYSL4	BICC1	1	LUAD
STK32C	DOCK1:ZBTB24:MYO19	3	SARC:HNSC
UCMA	LIPG	1	BLCA
LRRC27	CASP7:INPP5A:RPAIN	3	PRAD:OV:SKCM:BRCA
PWWP2B	ABR:STK32C:SIPA1L1:FAM49B	4	LAML:STAD:THCA
CFAP46	INPP5A:CELSR1:MAN1C1	3	BLCA:SKCM:ESCA
LINC01168	KNDC1	1	KIRP
ADGRA1	STK32C:MTG1	2	KIRC:STAD
ADAM8	MICALL1	1	STAD
TUBGCP2	TYMS:INPP5A:FAM155A	3	STAD:SARC:KIRC
ZNF511	MTG1:C2orf69	2	BRCA:CESC:STAD
ECHS1	AHSG:TUBGCP2:ZFAND3	3	LIHC:LUSC:LGG:OV
PAOX	MTG1:ENTPD1-AS1:ZNF346	3	CESC:ACC:BRCA
MTG1	CYP2E1	1	LIHC
BEND7	AC134511.1	1	OV
FRMD4A	BEND7:USP6NL:ARPP21:INPP5A	4	PRAD:OV:LGG
AC044781.1	USP6NL	1	SARC
FAM107B	ZNF248:AC004554.2:USP6NL	3	BLCA:STAD:LUAD
CDNF	USP6NL:PRPF38A	2	STAD:SARC
DCLRE1C	DNAJC1:NSMCE2:IFNAR1	3	BRCA:LUAD
MEIG1	ENOSF1:ANXA4	2	ESCA
RPP38	MPP7:ADK	2	OV:BRCA
NMT2	DCLRE1C:DOCK7	2	BLCA:SARC
FAM171A1	C11orf80:FAM107B:NMT2	3	UCEC:OV:ESCA
ADARB2-AS1	NET1	1	UCEC
ITGA8	FBXO18	1	KIRC
MINDY3	ZNF37A:ITGA8:SGMS1	3	LGG:SARC:STAD
RSU1	NCOA4:MINDY3	2	CHOL:BRCA:STAD
CUBN	MTPAP:RUBCNL:RSU1:FAM171A1:ABI1	5	BRCA:SARC:STAD:SKCM
TRDMT1	L3MBTL4	1	BLCA
VIM	RPS12:CLU:STAM:FLNA	4	SKCM:KIRC:SARC
ST8SIA6	TRDMT1:KITLG:PLXDC2:MED25	4	OV:SARC:BRCA:SKCM
ST8SIA6-AS1	CACNB2	1	BRCA
HACD1	ALG14:BCL11A:RSU1	3	SKCM:ESCA:OV
STAM	CACNB2:TMEM127	2	KIRC:BLCA
ZMYND11	AC009403.1	1	BRCA
CACNB2	PRPF18	1	BRCA
AL450384.2	ANTXR1	1	ACC
NSUN6	ARL5B:PARD3	2	LUSC
MALRD1	PRR16:ZDHHC17:PRMT3:PLXDC2:RSU1:MSRB2	6	PRAD:SARC:SKCM:LGG:LUAD:BRCA
PLXDC2	MYPN:SPAG6	2	SARC:BLCA
NEBL	GGNBP2:ITSN1	2	CESC:LUAD
SKIDA1	MALRD1:NEBL	2	GBM:BRCA
MLLT10	KMT2A:PICALM:XPO1:FGFR3	4	LAML:COAD:OV
DNAJC1	TAF3:ZNF462:APBB1IP	3	LUAD:BRCA:SKCM:STAD
BMI1	GNA13	1	HNSC
COMMD3-BMI1	GNA13	1	HNSC
SPAG6	HSPA12A	1	LGG
PIP4K2A	DNAJC1:RIMKLB:XRN1	3	BRCA:ESCA:DLBC:LGG
ARMC3	PARD3:USP6NL:ATG7:CD81	4	BRCA:LUAD:LUSC:UCS
MSRB2	ARHGAP21	1	STAD
C10orf67	HSPA14:KIAA1217	2	CESC:SKCM
KIAA1217	SVIL:GPR158:THNSL1	3	SARC:SKCM
ARHGAP21	PIP4K2A	1	KIRC
PRTFDC1	ARHGAP21	1	ESCA
ENKUR	FOXP2	1	PRAD
THNSL1	PLXDC2	1	SKCM
GPR158-AS1	PRTFDC1:LDLRAD3	2	ESCA:LUSC:BRCA
AL713851.1	DCAF12:NCOA2	2	OV
LINC00836	SEC61A2	1	LUSC
APBB1IP	FRMD4A:WAC	2	SKCM:BRCA
PDSS1	MASTL	1	CESC
ABI1	STARD3NL:FAM208B	2	LGG:BRCA
ANKRD26	FAM171A1	1	LGG
YME1L1	PSTK:MYH11	2	BRCA:CESC
PTCHD3	PRTFDC1	1	STAD
RAB18	CDC123	1	STAD
MKX	ACTR10	1	SARC
ARMC4	ACTR1A:PARD3:CLPB	3	PRAD:HNSC:BRCA
MPP7	AC011603.3:DCLRE1C	2	OV:SKCM
AL358234.1	TAF3:ITGB5	2	STAD:BRCA
WAC-AS1	CREBBP:ITGB5	2	OV:BRCA
WAC	MLLT10:AKR1E2	2	LGG:BRCA
BAMBI	TXNDC11	1	ACC
LYZL1	ZMYND11:SVIL-AS1	2	PRAD:KIRC
SVIL-AS1	SNHG7:FAM171A1	2	STAD:HNSC
SVIL	TAF3:KIF5B	2	SKCM:LGG
MTPAP	MRPL10	1	BLCA
LYZL2	MAP3K8:FBXO28	2	SKCM:HNSC
ZNF438	BICD1:ZEB1:YME1L1	3	LGG:STAD:OV
ZEB1	ZEB1-AS1:KIAA1217:MPP7	3	STAD:OV:ESCA
ARHGAP12	PARD3	1	STAD
KIF5B	HHAT	1	PRAD
AL158834.2	CCNY	1	OV
EPC1	KIF5B	1	ESCA
CCDC7	ZNF143:ABI1:ASCC1	3	SKCM:BRCA:UCS
AL121748.2	WAPL	1	LUAD
NRP1	LINC00704:PTEN	2	LUSC:PRAD
AL117338.1	UBE2L3	1	HNSC
PARD3	SMIM29:ZNF33A:NRP1:TSPAN14:BTAF1:ANK3:NCKAP1:PDZD2	8	OV:LGG:KICH:LUSC:HNSC:ESCA
CUL2	NRP1:CCNY:PARD3	3	LGG:ESCA:OV:LUSC:HNSC
AL392046.1	PARD3:ZNF33A:NCF2	3	BRCA:PRAD:HNSC
CREM	KLF6:SETD7	2	OV:LGG
CCNY	PARD3:WARS:AL117336.3:MBOAT2	4	OV:THCA:STAD:ACC
ZNF248	CCNY	1	ESCA
ZNF33A	URI1	1	BLCA
AL117339.5	ZMIZ1	1	BRCA
AC025822.2	FAM171A1	1	BRCA
LINC00839	C16orf52	1	BRCA
BMS1	PARD3	1	OV
RET	NCOA4:CCDC6:DLG5:ERC1:AKAP13:TRIM33:SPECC1L:TBL1XR1:TRIM27	9	THCA:BRCA:LUAD
CSGALNACT2	ZNF487	1	STAD
FXYD4	ZNF487	1	BRCA
HNRNPF	SAR1A:KLHL1	2	SKCM:SARC
ZNF239	HNRNPF	1	BRCA
LINC00703	ARHGAP12:AL359878.1	2	OV:LUAD
C10orf25	NCOA4	1	PRAD
OR13A1	FRMD4A	1	LGG
ALOX5	MRC1	1	LIHC
ZFAND4	MARCH8	1	OV
TIMM23	GPRIN2:HPSE2	2	OV:ESCA
NCOA4	RET	1	THCA
MSMB	GNPTG:NCOA4:KCNMA1:ANKRD22	4	PRAD:TGCT:BLCA:BRCA
BX547991.1	SNX8	1	LIHC
FRMPD2	PARG	1	SARC
AKR1E2	EPC1	1	ESCA
MAPK8	COG6	1	BRCA
ARHGAP22	MICU1	1	BRCA
WDFY4	ANK3:SVIL-AS1	2	BRCA:HNSC
VSTM4	SGMS1	1	PRAD
DRGX	VSTM4:SLC25A16	2	HNSC:SKCM
ERCC6	FAM83G:CPNE1	2	LIHC:BRCA
PARG	RSU1	1	STAD
AL391427.1	RBM17	1	ESCA
SGMS1	SCARB2:GLRX3	2	ACC:ESCA
AKR1C3	IDI1:NET1	2	LUAD:LUSC
AL731537.1	SEL1L	1	PRAD
PRKG1	CDC42BPA:TIMM23:MYH9:CCDC40	4	HNSC:LGG:BRCA:SARC
PRKG1-AS1	TBX15	1	SARC
AC074327.1	FMN1	1	SKCM
TUBAL3	WDR37	1	BLCA
PCDH15	ZMYND11:ECD:DLG5:DOCK1:ZNF83:USP54	6	STAD:LUSC:BRCA:OV
NET1	FBXO18:TARSL2:FBXO11:ATP11B:FAM208B	5	KIRP:SARC:ESCA:BLCA:BRCA
CALML3-AS1	FAM107B:FAM49B	2	STAD:LUAD
FAM208B	RBM17	1	STAD
GDI2	EIF3B:PFKP:PFKFB3:MAD1L1	4	SARC:STAD:BLCA
CISD1	BICC1	1	KIRP
UBE2D1	BICC1:CCDC6	2	BRCA
BICC1	GNE:FGFR2:TMEM67	3	SKCM:CHOL:LIHC:STAD
ANKRD16	USP6NL	1	PRAD
LINC00844	PHYHIPL:DHRS13	2	LUAD:UCEC:GBM
PHYHIPL	FAM13C:BMS1:NIPSNAP2:MRC2:KDM4B	5	LGG:PRAD:PCPG
FAM13C	TIMM23B	1	SARC
FBXO18	PFKFB3:SLC9A3R1	2	PAAD:BRCA:PRAD
